Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_7733	0.879178671928111	1.46380936940228	376	DNA-directed RNA polymerases I and III subunit RPAC1	Grosmannia clavigera	Ophiostoma piceae	K03027	RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	rna polymerase rpb3 insert domain-containing protein	4	F:DNA-directed RNA polymerase activity; P:transcription, DNA-dependent; F:DNA binding; F:protein dimerization activity	EC:2.7.7.6	N	8	2	0	6	0	0	0	0
gene_7734	9.90057413980992	-0.556052689111121	486	NADH-quinone oxidoreductase subunit D	Grosmannia clavigera	Ophiostoma piceae	K03935	NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]	nadh-ubiquinone oxidoreductase 49 kda subunit	4	F:NAD binding; F:oxidoreductase activity, acting on NADH or NADPH; P:oxidation-reduction process; F:quinone binding	-	N	20	10	2	28	4	4	10	32
gene_7735	0	0	402	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_11733	0	-		N	0	0	0	0	0	0	0	0
gene_7736	3.91004098449636	0.00831189296592154	518	Ubiquinone biosynthesis monooxgenase	Grosmannia clavigera	Ophiostoma piceae	K06126	COQ6; ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-]	ubiquinone biosynthesis monooxygenase coq6	4	P:ubiquinone biosynthetic process; F:flavin adenine dinucleotide binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen; P:oxidation-reduction process	EC:1.14.13.0	N	3	8	2	11	1	2	3	10
gene_7737	6.95513569224224	0.582883681125578	287	Sphingolipid long chain base-responsive protein LSP1	Colletotrichum graminicola	Ophiostoma piceae			sphingolipid long chain base-responsive protein lsp1	4	P:protein glycosylation; C:integral to membrane; F:dolichyl-diphosphooligosaccharide-protein glycotransferase activity; C:endoplasmic reticulum	EC:2.4.1.119	N	18	32	0	39	4	0	0	20
gene_7738	0	0	132	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_7739	0.991527388667914	-1.25623620150148	477	Oligosaccharyl transferase subunit	Grosmannia clavigera	Ophiostoma piceae	K12666	OST1, RPN1; oligosaccharyltransferase complex subunit alpha (ribophorin I)	ribophorin i	4	P:protein glycosylation; C:integral to membrane; F:dolichyl-diphosphooligosaccharide-protein glycotransferase activity; C:endoplasmic reticulum	EC:2.4.1.119	Y	0	2	0	0	1	0	2	4
gene_774	0	0	291	WW domain-containing protein	Eutypa lata	Ophiostoma piceae			ww domain-containing protein	0	-		N	0	0	0	0	0	0	0	0
gene_7740	12.0004766747836	-0.243936744124472	494	Hexokinase	Trichoderma virens	Ophiostoma piceae	K00844	HK; hexokinase [EC:2.7.1.1]	hexokinase family protein	4	P:phosphorylation; F:ATP binding; P:glycolysis; F:hexokinase activity	EC:2.7.1.1	N	11	16	4	50	2	14	10	16
gene_7741	0.267931785448488	0.619050068707501	450	Arginine N-methyltransferase	Grosmannia clavigera	Ophiostoma piceae	K00599	E2.1.1.-; genes in multiple pathways	arginine n-methyltransferase	3	P:methylation; F:methyltransferase activity; C:intracellular part	EC:2.1.1.0	N	4	0	0	0	0	0	0	0
gene_7742	1.61328289543658	0.459864889268249	816	Vacuolar transporter chaperone 4	Grosmannia clavigera	Ophiostoma piceae			vacuolar transporter chaperone 4	8	C:intrinsic to vacuolar membrane; P:microautophagy; P:polyphosphate metabolic process; C:vacuolar transporter chaperone complex; P:vacuole fusion, non-autophagic; P:vacuolar transport; F:polyphosphate kinase activity; C:endoplasmic reticulum	EC:2.7.4.1	N	10	2	0	6	1	0	0	4
gene_7743	0.409513566791772	-0.11546503063625	1 044	DNA replication licensing factor mcm4 (Minichromosome maintenance protein 4)	Sordaria macrospora	Ophiostoma piceae	K02212	MCM4, CDC54; minichromosome maintenance protein 4 (cell division control protein 54)	cell division control protein 54	18	P:S phase of mitotic cell cycle; F:single-stranded DNA-dependent ATPase activity; C:replication fork protection complex; P:DNA unwinding involved in replication; P:double-strand break repair via break-induced replication; C:DNA replication preinitiation complex; C:MCM complex; P:cell division; F:ATP binding; F:DNA replication origin binding; P:DNA strand elongation involved in DNA replication; P:DNA-dependent DNA replication initiation; C:pre-replicative complex; P:pre-replicative complex assembly; F:single-stranded DNA binding; F:four-way junction helicase activity; F:ATP-dependent 3'-5' DNA helicase activity; C:cytoplasm	-	N	2	0	0	1	0	1	0	0
gene_7744	4.29960987349421	-1.52802628185494	197	Coatamer subunit protein	Grosmannia clavigera	Ophiostoma piceae			coatomer subunit zeta	1	P:transport	-	N	0	10	0	10	6	6	0	2
gene_7745	0.60116216995536	1.13902695260943	482	tRNA threonylcarbamoyladenosine biosynthesis protein sua5 (t(6)A37 threonylcarbamoyladenosine biosynthesis protein sua5)	Grosmannia clavigera	Ophiostoma piceae	K07566	rimN, SUA5; tRNA threonylcarbamoyladenosine biosynthesis protein	translation initiation protein sua5	0	-		N	0	2	1	1	0	0	0	0
gene_7746	1.69779832549156	-2.13605900768746	1 058	Serine/threonine-protein kinase nak1	Colletotrichum higginsianum	Sporothrix schenckii			ste ste20 ysk protein kinase	4	P:mycelium development; P:phosphorylation; F:protein kinase activity; F:nucleotide binding	-	N	0	0	0	0	3	2	0	4
gene_7747	0.470865024907766	0.95734264315498	1 011	DNA repair protein RAD16 (ATP-dependent helicase RAD16)	Grosmannia clavigera	Ophiostoma piceae	K15083	RAD16; DNA repair protein RAD16	dna repair protein rad16	5	F:zinc ion binding; P:regulation of transcription, DNA-dependent; F:ATP-dependent helicase activity; F:DNA binding; F:ATP binding	-	N	0	0	1	0	0	0	0	0
gene_7748	0	0	277	Putative short-chain dehydrogenase/reductase family oxidoreductase	Grosmannia clavigera	Ophiostoma piceae	K16066	ydfG; malonic semialdehyde reductase [EC:1.1.1.-]		5	P:oxidation-reduction process; P:cellular amino acid metabolic process; F:oxidoreductase activity; P:metabolic process; F:pyridoxal phosphate binding		N	0	0	0	0	0	0	0	0
gene_7748.1	0.0438467769254428	0.121272149774418	576	DNA repair protein rhp7 (RAD7 homolog)	Grosmannia clavigera	Ophiostoma piceae	K15082	RAD7; DNA repair protein RAD7	dna repair protein protein	5	P:oxidation-reduction process; P:cellular amino acid metabolic process; F:oxidoreductase activity; P:metabolic process; F:pyridoxal phosphate binding		N	0	1	0	0	0	0	0	0
gene_7749	0.315885914482849	-0.70643933902918	373	Catabolic L-serine/threonine dehydratase	Grosmannia clavigera	Ophiostoma piceae	K01752	E4.3.1.17, sdaA; L-serine dehydratase [EC:4.3.1.17]	l-serine dehydratase	1	P:metabolic process	-	N	0	0	0	0	1	0	0	0
gene_775	0	0	768	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae	K14828	RIX1, IPI2; pre-rRNA-processing protein RIX1	hypothetical protein CMQ_7341	2	F:molecular_function; P:biological_process		N	0	0	0	0	0	0	0	0
gene_7750	0	0	241	N-acetyltransferase 9-like protein	Grosmannia clavigera	Ophiostoma piceae			dna polymerase subunit delta-2	1	F:N-acetyltransferase activity		N	0	0	0	0	0	0	0	0
gene_7751	0.0852071823934164	0.227019381253042	674	Methionyl-tRNA synthetase	Grosmannia clavigera	Ophiostoma piceae	K01874	MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]	methionyl-trna synthetase	3	F:aminoacyl-tRNA ligase activity; P:tRNA aminoacylation for protein translation; F:nucleotide binding	-	N	0	0	0	2	0	0	0	0
gene_7752	0	0	218	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nuclear transport factor 2 domain containing protein	1	F:molecular_function		N	0	0	0	0	0	0	0	0
gene_7753	0.931776331483281	-1.51780613599385	560	Farnesyltransferase alpha subunit ram2	Grosmannia clavigera	Ophiostoma piceae	K05955	FNTA; protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59]	alpha subunit of hypothetical caax farnesyltransferase	1	F:transferase activity	-	N	0	0	0	0	0	4	0	0
gene_7754	0.0876935538508856	0.233135979246061	507	Mevalonate kinase	Grosmannia clavigera	Ophiostoma piceae	K00869	E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]	mevalonate kinase	5	C:cytoplasm; P:phosphorylation; P:isoprenoid biosynthetic process; F:mevalonate kinase activity; F:ATP binding	EC:2.7.1.36	N	0	2	0	0	0	0	0	0
gene_7755	5.39325444241406	0.090795543598827	79	60S ribosomal protein L38	Grosmannia clavigera	Ophiostoma piceae	K02923	RP-L38e, RPL38; large subunit ribosomal protein L38e	60s ribosomal protein l38	3	C:ribosome; F:structural constituent of ribosome; P:translation	-	N	4	9	2	28	2	0	12	2
gene_7756	0	0	84	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			hypothetical protein GLRG_04868	0	-		N	0	0	0	0	0	0	0	0
gene_7757	0	0	226	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	0	0	0	0	0	0	0	0
gene_7758	0.0852071823934164	0.227019381253042	580	Fungal trichothecene efflux pump	Colletotrichum orbiculare	Ophiostoma piceae			trichothecene efflux pump	3	P:transmembrane transport; C:membrane; F:transporter activity	-	N	0	0	0	2	0	0	0	0
gene_7759	0	0	460	PX domain-containing protein YPT35	Sordaria macrospora	Ophiostoma piceae			phosphoinositide binding protein	2	F:phosphatidylinositol binding; P:cell communication		N	0	0	0	0	0	0	0	0
gene_776	0	0	1 306	Filamentation protein	Grosmannia clavigera	Ophiostoma piceae			filamentation protein	3	P:metabolic process; F:transferase activity, transferring acyl groups; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_7760	1.0936912873353	-1.08609142313002	443	SN-diacylglycerol cholinephosphotransferase	Grosmannia clavigera	Ophiostoma piceae	K00993	EPT1; ethanolaminephosphotransferase [EC:2.7.8.1]	cholinephosphotransferase 1	3	C:membrane; F:phosphotransferase activity, for other substituted phosphate groups; P:phospholipid biosynthetic process	EC:2.7.8.0	N	0	0	0	4	1	0	4	0
gene_7761	0.931776331483281	-1.51780613599385	196	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7888	0	-		Y	0	0	0	0	0	4	0	0
gene_7762	32.5963999087942	0.566198623725863	1 283	Multidrug resistance-associated protein 1 (Leukotriene C(4) transporter)	Colletotrichum orbiculare	Ophiostoma piceae			abc transporter	9	F:ATPase activity, coupled to transmembrane movement of substances; C:integral to membrane; P:transport; P:ATP catabolic process; F:nucleotide binding; F:nucleoside-triphosphatase activity; F:ATP binding; F:ATPase activity; P:transmembrane transport		N	23	40	31	39	24	8	12	25
gene_7763	0	0	395	Glutaminyl-peptide cyclotransferase	Grosmannia clavigera	Ophiostoma piceae	K00683	E2.3.2.5; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]	glutaminyl-peptide cyclotransferase	3	F:transferase activity; F:peptidase activity; P:proteolysis	-	N	0	0	0	0	0	0	0	0
gene_7764	0.0852071823934164	0.227019381253042	285	Oligosaccharyl transferase subunit ribophorin	Grosmannia clavigera	Ophiostoma piceae	K12667	SWP1, RPN2; oligosaccharyltransferase complex subunit delta (ribophorin II)	oligosaccharyltransferase subunit ribophorin	3	P:protein N-linked glycosylation via asparagine; C:oligosaccharyltransferase complex; F:dolichyl-diphosphooligosaccharide-protein glycotransferase activity	EC:2.4.1.119	Y	0	0	0	2	0	0	0	0
gene_7765	0	0	176	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_7766	0.066982946362122	0.18137724774258	1 039	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2054	1	F:microtubule binding		N	1	0	0	0	0	0	0	0
gene_7767	0.631771828965698	-1.17858313272832	500	MFS monocarboxylate transporter, putative	Metarhizium anisopliae	Ophiostoma piceae			mfs monocarboxylate transporter	1	F:binding	-	N	0	0	0	0	2	0	0	0
gene_7768	0	0	1 679	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1941	0	-		N	0	0	0	0	0	0	0	0
gene_7769	0	0	189	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_777	0.599854058465884	-0.607450932270216	435	Pyruvate dehydrogenase	Myceliophthora thermophila	Ophiostoma piceae			filamentation protein	2	P:metabolic process; F:transferase activity, transferring acyl groups		N	2	0	0	0	0	2	0	0
gene_7770	1.0169835138767	-1.2907867547408	378	DNA damage checkpoint control protein rad1	Grosmannia clavigera	Ophiostoma piceae	K02830	HRAD1, RAD17; cell cycle checkpoint protein [EC:3.1.11.2]	dna repair exonuclease rad1	3	F:damaged DNA binding; C:nucleus; P:DNA repair	-	N	0	0	0	2	0	4	0	0
gene_7771	0	0	79	Putative uncharacterized protein	Podospora anserina	Podospora anserina			dna repair protein	3	F:damaged DNA binding; C:nucleus; P:DNA repair	-	N	0	0	0	0	0	0	0	0
gene_7772	0	0	485	Histone acetyltransferase GCN5	Grosmannia clavigera	Ophiostoma piceae	K06062	PCAF, KAT2, GCN5; histone acetyltransferase [EC:2.3.1.48]	histone acetyltransferase gcn5	9	C:SAGA complex; C:SLIK (SAGA-like) complex; F:H3 histone acetyltransferase activity; P:regulation of transcription by chromatin organization; C:chromosome, centromeric region; P:histone H3 acetylation; F:histone acetyl-lysine binding; P:positive regulation of transcription elongation from RNA polymerase II promoter; C:Ada2/Gcn5/Ada3 transcription activator complex	-	N	0	0	0	0	0	0	0	0
gene_7773	0	0	403	Putative uncharacterized protein	Colletotrichum graminicola	Ophiostoma piceae			hypothetical protein GLRG_00569	0	-		N	0	0	0	0	0	0	0	0
gene_7774	0.781774080224489	-1.35814200137798	749	Nipped-B-like protein B	Colletotrichum graminicola	Sporothrix schenckii			hydroxyproline-rich glycoprotein dz-hrgp	0	-		N	0	0	0	0	1	2	0	0
gene_7775	0	0	241	Putative uncharacterized protein	Penicillium rubens	Ophiostoma piceae			Pc18g03210	2	F:N-acetyltransferase activity; F:transferase activity		N	0	0	0	0	0	0	0	0
gene_7776	31.5521488061213	0.29302162397655	174	60S ribosomal protein L20-B (L18a)	Grosmannia clavigera	Ophiostoma piceae	K02882	RP-L18Ae, RPL18A; large subunit ribosomal protein L18Ae	60s ribosomal protein l20	4	C:ribosome; P:mycelium development; F:structural constituent of ribosome; P:translation		N	94	98	6	94	8	14	10	96
gene_7777	0.0438467769254428	0.121272149774418	455	COP9 signalosome complex subunit 12	Grosmannia clavigera	Ophiostoma piceae			cop9 signalosome complex subunit 12	2	F:molecular_function; P:biological_process		N	0	1	0	0	0	0	0	0
gene_7778	0	0	277	Putative uncharacterized protein	Myceliophthora thermophila	Ophiostoma piceae			hypothetical protein MYCTH_2089975	0	-		N	0	0	0	0	0	0	0	0
gene_7779	0.467733666499253	-0.952681957891771	440	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6159	0	-		N	0	0	0	0	1	0	1	0
gene_778	0	0	1 140	Fungal specific transcription factor domain-containing protein	Colletotrichum fioriniae	Ophiostoma piceae			fungal specific transcription factor domain-containing protein	1	P:transcription, DNA-dependent	-	N	0	0	0	0	0	0	0	0
gene_7780	0.071063104075343	-0.191722081359754	440	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	0	-		N	0	0	0	0	0	0	0	1
gene_7781	0	0	579	Dityrosine transporter 1	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_7782	0.777086666925268	-0.257840979434067	893	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5983	0	-		N	2	4	0	0	1	0	1	0
gene_7783	1.77020923648137	-1.89285604123955	798	Urease accessory protein UreF	Grosmannia clavigera	Ophiostoma piceae			urease accessory protein	2	P:nitrogen compound metabolic process; F:nickel cation binding		N	0	2	0	0	1	0	9	0
gene_7784	0.728968827294297	-0.340020592522484	1 725	Serine/threonine-protein kinase GCN2	Grosmannia clavigera	Ophiostoma piceae	K16196	EIF2AK4; eukaryotic translation initiation factor 2-alpha kinase 4 [EC:2.7.11.1]	serine threonine-protein kinase gcn2	6	P:regulation of translational initiation; P:protein phosphorylation; F:ATP binding; F:protein serine/threonine kinase activity; F:tRNA binding; F:protein homodimerization activity	EC:2.7.11.0	N	0	6	0	0	0	2	0	0
gene_7785	24.6205807307325	-0.15797181586002	124	60S ribosomal protein L22	Grosmannia clavigera	Ophiostoma piceae	K02891	RP-L22e, RPL22; large subunit ribosomal protein L22e	60s ribosomal protein l22	4	C:ribosome; P:mycelium development; F:structural constituent of ribosome; P:translation	-	N	61	44	6	65	15	8	16	56
gene_7786	9.8964982695513	0.0927406688196672	57	Plasma membrane proteolipid 3	Coccidioides immitis	Coccidioides immitis			plasma membrane proteolipid 3	2	C:plasma membrane; C:integral to membrane	-	N	27	24	2	31	6	8	2	10
gene_7787	0.0876935538508856	0.233135979246061	423	GTP-binding protein	Grosmannia clavigera	Ophiostoma piceae	K06942	Unclassified; Poorly Characterized	gtp-binding protein	3	C:cytoplasm; F:hydrolase activity; F:GTP binding	-	N	0	2	0	0	0	0	0	0
gene_7788	0.0852071823934164	0.227019381253042	552	SET domain-containing protein 8	Grosmannia clavigera	Ophiostoma piceae			set domain-containing protein	0	-		N	0	0	0	2	0	0	0	0
gene_7789	35.8656939672813	-0.389189628267077	1 007	Transcriptional activator protein acu-15	Togninia minima	Ophiostoma piceae	K09240	CAT8; transcriptional regulatory protein CAT8	transcriptional activator protein acu-15	3	F:metal ion binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent	-	N	16	12	27	27	24	30	30	18
gene_779	0	0	1 048	LPXTG-motif cell wall anchor domain containing protein	Grosmannia clavigera	Ophiostoma piceae			lpxtg-motif cell wall anchor domain containing protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_7794	0.151847752016404	-0.382606947698199	353	Glycerophosphoryl diester phosphodiesterase family protein	Grosmannia clavigera	Ophiostoma piceae	K01126	E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	glycerophosphoryl diester phosphodiesterase	5	P:lipid metabolic process; F:phosphoric diester hydrolase activity; F:glycerophosphodiester phosphodiesterase activity; P:glycerol metabolic process; C:cellular_component		N	0	0	0	0	0	0	1	0
gene_7795	1.01976755498895	0.388402009745097	274	Glycosylphosphatidylinositol anchor biosynthesis protein 11	Grosmannia clavigera	Ophiostoma piceae	K05287	PIGF; phosphatidylinositol glycan, class F [EC:2.7.-.-]	glycosylphosphatidylinositol anchor biosynthesis protein 11	1	C:membrane	-	N	0	3	1	1	0	0	2	1
gene_7796	0	0	264	Translin-1 (Meiotically up-regulated gene 90 protein)	Grosmannia clavigera	Ophiostoma piceae			recombination hotspot-binding protein	2	F:sequence-specific DNA binding; P:pathogenesis	-	N	0	0	0	0	0	0	0	0
gene_7797	0	0	224	Putative uncharacterized protein	Neurospora tetrasperma	Ophiostoma piceae			hypothetical protein NEUTE1DRAFT_77282	0	-		N	0	0	0	0	0	0	0	0
gene_7798	0	0	331	Mitochondrial substrate carrier family protein L	Fusarium oxysporum	Ophiostoma piceae	K15109	SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29	mitochondrial carrier protein	5	C:endoplasmic reticulum membrane; F:transferase activity, transferring glycosyl groups; P:GPI anchor biosynthetic process; P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_7799	0.558558578758652	1.08210110774533	336	Galactinol synthase 1	Grosmannia clavigera	Ophiostoma piceae			glycosyl transferase	4	C:integral to membrane; P:mycelium development; P:transport; F:transferase activity, transferring glycosyl groups	-	N	0	2	1	0	0	0	0	0
gene_78	0.941070440600319	1.01641070481784	470	Sun domain containing protein	Grosmannia clavigera	Ophiostoma piceae			septation protein sun4	1	P:mycelium development	-	Y	8	6	0	0	0	0	0	2
gene_7800	300.267552317941	-0.499222765024701	2 466	Autophagy regulatory protein	Grosmannia clavigera	Ophiostoma piceae			autophagy regulatory protein	4	P:autophagy; C:late endosome; P:protein transport; P:transport		N	344	240	161	351	321	104	234	208
gene_7801	0.504644343119173	-0.197339862788389	604	Probable polyamine oxidase 4 (AtPAO4)	Gaeumannomyces graminis	Ophiostoma piceae	K13367	FMS1, AtPAO3; non-specific polyamine oxidase [EC:1.5.3.17]	flavin containing amine oxidoreductase	2	P:oxidation-reduction process; F:oxidoreductase activity		N	3	0	0	0	0	0	2	0
gene_7802	0.871958121784032	0.372269141078089	537	Major facilitator superfamily domain-containing protein 1	Eutypa lata	Ophiostoma piceae			hypothetical protein NECHADRAFT_44418	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	1	2	1	0	0	0
gene_7803	0	0	148	Putative uncharacterized protein	Fusarium fujikuroi	Ophiostoma piceae			hypothetical protein NECHADRAFT_82244	4	P:oxidation-reduction process; F:oxidoreductase activity; C:integral to membrane; C:membrane		N	0	0	0	0	0	0	0	0
gene_7804	1.18286717710075	-1.4489410331823	450	Probable ferric reductase transmembrane component (Ferric-chelate reductase)	Colletotrichum higginsianum	Ophiostoma piceae			ferric reductase transmembrane component 5	4	P:oxidation-reduction process; F:oxidoreductase activity; C:integral to membrane; C:membrane		N	0	0	0	2	2	2	0	0
gene_7805	3.13958440100279	-1.54358698875098	809	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			hypothetical protein FOXB_02602	1	F:ADP binding		N	0	1	1	1	5	4	0	1
gene_7806	1.47562042157701	-0.661117959457972	1 030	Eukaryotic elongation factor 2 kinase (eEF-2 kinase)	Fusarium verticillioides	Ophiostoma piceae	K08292	E2.7.11.20; elongation factor 2 kinase [EC:2.7.11.20]	mhck ef2 kinase domain family protein protein	8	F:ATP binding; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups; F:protein serine/threonine kinase activity; F:kinase activity; P:phosphorylation; P:translational elongation; F:translation elongation factor activity		N	3	2	0	4	2	1	1	0
gene_7807	4.08544582916373	-0.0737181059018794	529	Acyl-dehydrogenase domain containing protein	Grosmannia clavigera	Ophiostoma piceae			acyl- dehydrogenase	5	F:heme binding; F:flavin adenine dinucleotide binding; F:metal ion binding; F:acyl-CoA dehydrogenase activity; P:oxidation-reduction process	EC:1.3.99.3	N	10	24	0	6	0	4	4	8
gene_7808	9.15429789527718	-1.02409456722796	192	DNA-binding protein HEXBP (Hexamer-binding protein)	Grosmannia clavigera	Sporothrix schenckii	K09250	CNBP; cellular nucleic acid-binding protein	zinc knuckle domain-containing protein	2	F:zinc ion binding; F:nucleic acid binding	-	N	6	10	2	25	4	11	14	5
gene_7809	0.509734942667083	-0.828655913270885	829	DNA repair protein sae2/ctip	Grosmannia clavigera	Ophiostoma piceae			dna repair protein sae2 ctip	0	-		N	0	1	0	0	0	2	0	0
gene_781	0	0	1 065	Protein-tyrosine phosphatase	Grosmannia clavigera	Ophiostoma piceae	K11240	MSG5; tyrosine-protein phosphatase [EC:3.1.3.48]	dual specificity phosphatase	5	P:protein dephosphorylation; P:response to pheromone involved in conjugation with cellular fusion; F:protein tyrosine/serine/threonine phosphatase activity; P:regulation of signal transduction; C:intracellular part	-	N	0	0	0	0	0	0	0	0
gene_7810	0.956477690332075	0.364498328419484	1 079	Ubiquitin carboxyl-terminal hydrolase	Trichoderma reesei	Ophiostoma piceae	K11841	USP10, UBP3; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.1.2.15]	ubiquitin c-terminal hydrolase	1	F:hydrolase activity	-	N	0	2	1	1	0	0	0	5
gene_7811	7.73011901716878	-0.0668048204298105	1 260	Vitamin H transporter 1	Grosmannia clavigera	Ophiostoma piceae			vitamin h transporter 1	1	P:mycelium development	-	N	5	6	6	8	3	3	12	7
gene_7812	0.127810773590125	0.328401691712948	645	Siderochrome-iron transporter	Togninia minima	Ophiostoma piceae			siderochrome-iron transporter	2	C:integral to membrane; P:transmembrane transport		N	0	0	0	3	0	0	0	0
gene_7813	10.1757532043494	0.918037392834741	206	Secreted protein	Grosmannia clavigera	Grosmannia clavigera			bacterial-type extracellular deoxyribonuclease	0	-		Y	37	9	7	15	7	0	2	12
gene_7814	0	0	410	Metal-dependent amidase/aminoacylase/carboxypeptidase	Aspergillus oryzae	Ophiostoma piceae			metal-dependent amidase aminoacylase carboxypeptidase	3	F:carboxypeptidase activity; F:hydrolase activity; P:metabolic process		N	0	0	0	0	0	0	0	0
gene_7815	23.4930001835739	-0.301841055989174	1 008	Hydantoinase/oxoprolinase	Byssochlamys spectabilis	Ophiostoma piceae			hydantoinase	1	F:hydrolase activity		N	18	23	15	28	25	6	18	14
gene_7816	0	0	537	Vitamin H transporter 1 (H(+)/biotin symporter vht1)	Botrytis cinerea	Ophiostoma piceae			vitamin h transporter 1 biotin symporter vht1	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_7817	0	0	516	ER membrane protein	Grosmannia clavigera	Ophiostoma piceae			er membrane protein	0	-		Y	0	0	0	0	0	0	0	0
gene_7818	0	0	691	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6296	0	-		N	0	0	0	0	0	0	0	0
gene_7819	8.78671410533865	0.643228242221161	1 674	Cytokinesis protein sepH (Serine/threonine-protein kinase sepH)	Grosmannia clavigera	Ophiostoma piceae	K00924	E2.7.1.-; unclassified signal transduction	ste ste11 cdc15 protein kinase	3	P:protein phosphorylation; F:ATP binding; F:protein serine/threonine kinase activity	EC:2.7.11.0	N	8	9	9	7	4	6	2	5
gene_782	0	0	429	UDP-galactose transporter homolog 1	Grosmannia clavigera	Ophiostoma piceae	K15275	SLC35B1; solute carrier family 35 (UDP-galactose transporter), member B1	uaa transporter	3	P:transmembrane transport; P:carbohydrate transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_7820	0.470865024907766	0.95734264315498	470	Dihydrofolate synthetase fol3	Grosmannia clavigera	Ophiostoma piceae	K01930	E6.3.2.17; folylpolyglutamate synthase [EC:6.3.2.17]	dihydrofolate synthetase fol3	1	P:biosynthetic process	-	N	0	0	1	0	0	0	0	0
gene_7821	0.665316368120878	0.636694466127353	306	DUF218 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf218 domain containing protein	2	F:molecular_function; P:biological_process		N	0	0	1	1	0	0	1	0
gene_7822	2.79902703350433	-1.37232142032058	375	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			hypothetical protein THITE_2106747	0	-		N	0	2	1	0	1	7	1	2
gene_7823	0.703809107778586	0.40556760031374	316	Phytanoyl-dioxygenase family protein	Grosmannia clavigera	Ophiostoma piceae			phytanoyl- dioxygenase	1	F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	0	0	1	0	0	1	0	0
gene_7825	0.255621547180249	0.595735747080933	663	RNA recognition domain-containing protein	Colletotrichum sublineola	Sporothrix schenckii	K14411	MSI; RNA-binding protein Musashi	nuclear polyadenylated rna-binding protein	3	F:nucleic acid binding; C:ribonucleoprotein complex; F:nucleotide binding		N	0	0	0	6	0	0	0	0
